iter	Passed	Remaining
181	395	1777
182	397	1775
183	399	1773
184	401	1770
185	403	1767
186	406	1765
187	408	1765
188	411	1763
189	413	1761
190	415	1760
191	417	1757
192	419	1755
193	421	1752
194	423	1749
195	426	1748
196	428	1747
197	430	1744
198	432	1742
199	434	1739
200	437	1737
201	439	1734
202	441	1732
203	443	1730
204	445	1727
205	447	1723
206	449	1722
207	451	1720
208	453	1718
209	455	1715
210	457	1712
211	460	1710
212	462	1708
213	464	1705
214	466	1703
215	468	1700
216	470	1698
217	472	1696
218	475	1694
219	477	1691
220	479	1689
221	481	1686
222	483	1684
223	485	1683
224	487	1680
225	490	1678
226	492	1676
227	494	1673
228	496	1671
229	498	1668
230	500	1667
231	502	1665
232	505	1662
233	507	1660
234	509	1658
235	511	1656
236	513	1654
237	515	1651
238	517	1649
239	520	1646
240	522	1644
241	524	1642
242	526	1639
243	528	1637
244	530	1634
245	532	1632
246	534	1630
247	537	1628
248	539	1625
249	541	1623
250	543	1621
251	545	1619
252	547	1617
253	549	1615
254	552	1612
255	554	1610
256	556	1608
257	558	1606
258	560	1604
259	562	1601
260	565	1599
261	567	1598
262	569	1596
263	571	1593
264	573	1591
265	576	1589
266	578	1587
267	580	1584
268	582	1582
269	584	1580
270	586	1577
271	588	1575
272	590	1573
273	592	1571
274	595	1568
275	597	1566
276	599	1565
277	601	1562
278	604	1560
279	606	1558
280	608	1556
281	610	1554
282	612	1552
283	614	1550
284	617	1548
285	619	1546
286	621	1544
287	623	1542
288	626	1540
289	628	1538
290	630	1536
291	633	1535
292	635	1533
293	637	1530
294	639	1529
295	641	1526
296	644	1525
297	646	1522
298	648	1520
299	650	1518
300	652	1515
301	654	1513
302	657	1511
303	659	1509
304	661	1506
305	663	1504
306	665	1502
307	667	1499
308	669	1497
309	671	1495
310	673	1493
311	676	1490
312	678	1488
313	680	1486
314	682	1484
315	684	1481
316	687	1480
317	689	1478
318	691	1476
319	693	1474
320	695	1471
321	698	1470
322	700	1468
323	702	1465
324	704	1463
325	706	1461
326	709	1459
327	711	1457
328	713	1455
329	715	1453
330	717	1451
331	720	1448
332	722	1446
333	724	1444
334	726	1441
335	728	1439
336	730	1437
337	733	1435
338	735	1433
339	737	1431
340	739	1429
341	741	1426
342	743	1424
343	745	1422
344	748	1420
345	750	1418
346	752	1415
347	754	1413
348	756	1411
349	758	1409
350	760	1406
351	763	1404
352	765	1403
353	767	1400
354	769	1398
355	771	1396
356	773	1393
357	776	1391
358	778	1389
359	780	1387
360	782	1385
361	784	1383
362	786	1380
363	789	1379
364	791	1377
365	793	1375
366	796	1373
367	798	1371
368	800	1368
369	802	1366
370	804	1364
371	807	1362
372	809	1360
373	811	1357
374	813	1355
375	815	1353
376	817	1351
377	819	1348
378	821	1346
379	823	1344
380	826	1342
381	828	1340
382	830	1337
383	832	1335
384	834	1333
385	836	1331
386	839	1329
387	841	1327
388	843	1324
389	845	1322
390	847	1320
391	850	1318
392	852	1316
393	854	1314
394	856	1312
395	859	1310
396	861	1308
397	863	1305
398	865	1303
399	867	1301
400	869	1299
401	871	1297
402	874	1295
403	877	1294
404	879	1292
405	881	1290
406	883	1287
407	885	1285
408	888	1283
409	890	1281
410	892	1279
411	894	1277
412	897	1275
413	899	1272
414	901	1270
415	903	1268
416	905	1266
417	907	1263
418	909	1261
419	911	1259
420	914	1257
421	916	1254
422	918	1252
423	920	1250
424	922	1248
425	924	1245
426	926	1243
427	928	1240
428	930	1238
429	932	1236
430	935	1234
431	937	1232
432	939	1230
433	941	1227
434	943	1225
435	945	1223
436	947	1221
437	949	1218
438	952	1216
439	954	1214
440	956	1212
441	958	1210
442	960	1208
443	963	1206
444	965	1203
445	967	1201
446	969	1199
447	971	1197
448	973	1195
449	975	1192
450	977	1190
451	980	1188
452	982	1186
453	984	1183
454	986	1181
455	988	1179
456	990	1177
457	992	1175
458	995	1172
459	997	1170
460	999	1168
461	1001	1166
462	1003	1163
463	1005	1161
464	1007	1159
465	1010	1157
466	1012	1155
467	1014	1153
468	1016	1151
469	1018	1148
470	1021	1146
471	1023	1144
472	1025	1142
473	1027	1140
474	1029	1138
475	1031	1135
476	1033	1133
477	1036	1131
478	1038	1129
479	1040	1127
480	1042	1124
481	1044	1122
482	1046	1120
483	1049	1118
484	1051	1116
485	1053	1113
486	1055	1111
487	1057	1109
488	1059	1107
489	1061	1105
490	1063	1102
491	1066	1100
492	1068	1098
493	1070	1096
494	1072	1094
495	1074	1091
496	1076	1089
497	1078	1087
498	1080	1085
499	1082	1082
500	1085	1080
501	1087	1078
502	1089	1076
503	1091	1074
504	1093	1072
505	1096	1070
506	1098	1067
507	1100	1066
508	1102	1063
509	1105	1061
510	1107	1059
511	1109	1057
512	1111	1055
513	1113	1053
514	1115	1050
515	1117	1048
516	1120	1046
517	1122	1044
518	1124	1042
519	1126	1039
520	1128	1037
521	1130	1035
522	1132	1033
523	1135	1031
524	1137	1029
525	1139	1026
526	1141	1024
527	1143	1022
528	1146	1020
529	1148	1018
530	1150	1016
531	1152	1013
532	1154	1011
533	1156	1009
534	1159	1007
535	1161	1005
536	1163	1002
537	1165	1000
538	1167	998
539	1169	996
540	1171	994
541	1174	992
542	1176	989
543	1178	987
544	1180	985
545	1182	983
546	1184	981
547	1186	978
548	1188	976
549	1190	974
550	1193	972
551	1195	970
552	1197	967
553	1199	965
554	1201	963
555	1203	961
556	1206	959
557	1208	957
558	1210	955
559	1212	952
560	1214	950
561	1217	948
562	1219	946
563	1221	944
564	1223	941
565	1225	939
566	1227	937
567	1229	935
568	1231	933
569	1233	930
570	1236	928
571	1238	926
572	1240	924
573	1242	922
574	1244	920
575	1247	917
576	1249	915
577	1251	913
578	1253	911
579	1255	909
580	1257	906
581	1259	904
582	1261	902
583	1263	900
584	1266	898
585	1268	895
586	1270	893
587	1272	891
588	1274	889
589	1276	887
590	1279	885
591	1281	883
592	1283	880
593	1285	878
594	1287	876
595	1289	874
596	1291	872
597	1294	869
598	1296	867
599	1298	865
600	1300	863
601	1302	861
602	1305	859
603	1307	857
604	1309	855
605	1311	852
606	1313	850
607	1315	848
608	1318	846
609	1320	844
610	1322	841
611	1324	839
612	1326	837
613	1328	835
614	1330	833
615	1333	831
616	1335	828
617	1337	826
618	1339	824
619	1341	822
620	1344	820
621	1346	818
622	1348	815
623	1350	813
624	1352	811
625	1354	809
626	1356	807
627	1358	804
628	1361	802
629	1363	800
630	1365	798
631	1367	796
632	1369	794
633	1371	792
634	1374	789
635	1376	787
636	1378	785
637	1380	783
638	1382	781
639	1384	779
640	1387	776
641	1389	774
642	1391	772
643	1393	770
644	1395	768
645	1398	766
646	1400	763
647	1402	761
648	1404	759
649	1406	757
650	1408	755
651	1411	753
652	1413	751
653	1415	748
654	1417	746
655	1419	744
656	1421	742
657	1424	740
658	1426	738
659	1428	736
660	1430	733
661	1432	731
662	1435	729
663	1437	727
664	1439	725
665	1441	722
666	1443	720
667	1445	718
668	1447	716
669	1450	714
670	1452	712
671	1454	710
672	1456	707
673	1459	705
674	1461	703
675	1463	701
676	1465	699
677	1467	696
678	1469	694
679	1471	692
680	1473	690
681	1476	688
682	1478	686
683	1480	683
684	1482	681
685	1484	679
686	1486	677
687	1489	675
688	1491	673
689	1493	671
690	1495	668
691	1497	666
692	1499	664
693	1502	662
694	1504	660
695	1506	658
696	1508	655
697	1510	653
698	1513	651
699	1515	649
700	1517	647
701	1519	644
702	1521	642
703	1523	640
704	1525	638
705	1527	636
706	1529	634
707	1532	631
708	1534	629
709	1536	627
710	1538	625
711	1540	623
712	1542	621
713	1544	618
714	1547	616
715	1549	614
716	1551	612
717	1553	610
718	1555	608
719	1558	605
720	1560	603
721	1562	601
722	1564	599
723	1566	597
724	1568	595
725	1571	592
726	1573	590
727	1575	588
728	1577	586
729	1579	584
730	1581	582
731	1584	580
732	1586	577
733	1588	575
734	1591	573
735	1593	571
736	1595	569
737	1597	567
738	1599	564
739	1601	562
740	1603	560
741	1606	558
742	1608	556
743	1610	554
744	1612	551
745	1614	549
746	1616	547
747	1619	545
748	1621	543
749	1623	541
750	1625	538
751	1627	536
752	1629	534
753	1631	532
754	1634	530
755	1636	528
756	1638	525
757	1640	523
758	1642	521
759	1644	519
760	1646	517
761	1648	514
762	1650	512
763	1653	510
764	1655	508
765	1657	506
766	1659	504
767	1661	501
768	1663	499
769	1666	497
770	1668	495
771	1670	493
772	1672	491
773	1674	488
774	1676	486
775	1678	484
776	1680	482
777	1683	480
778	1685	478
779	1687	475
780	1689	473
781	1691	471
782	1693	469
783	1696	467
784	1698	465
785	1700	463
786	1702	460
787	1704	458
788	1707	456
789	1709	454
790	1711	452
791	1713	449
792	1715	447
793	1717	445
794	1720	443
795	1722	441
796	1724	439
797	1726	437
798	1728	434
799	1730	432
800	1733	430
801	1735	428
802	1737	426
803	1739	424
804	1741	421
805	1744	419
806	1746	417
807	1748	415
808	1750	413
809	1752	411
810	1754	408
811	1756	406
812	1759	404
813	1761	402
814	1763	400
815	1765	398
816	1767	395
817	1769	393
818	1772	391
819	1774	389
820	1776	387
821	1778	385
822	1780	382
823	1782	380
824	1785	378
825	1787	376
826	1790	374
827	1792	372
828	1794	370
829	1796	368
830	1799	365
831	1801	363
832	1803	361
833	1805	359
834	1807	357
835	1809	355
836	1811	352
837	1814	350
838	1816	348
839	1818	346
840	1820	344
841	1822	342
842	1824	339
843	1826	337
844	1829	335
845	1831	333
846	1833	331
847	1835	329
848	1837	326
849	1840	324
850	1842	322
851	1844	320
852	1846	318
853	1848	316
854	1851	313
855	1853	311
856	1855	309
857	1857	307
858	1860	305
859	1862	303
860	1864	300
861	1866	298
862	1868	296
863	1870	294
864	1873	292
865	1875	290
866	1877	287
867	1879	285
868	1881	283
869	1883	281
870	1885	279
871	1887	277
872	1889	274
873	1892	272
874	1894	270
875	1896	268
876	1898	266
877	1900	264
878	1903	261
879	1905	259
880	1907	257
881	1909	255
882	1911	253
883	1913	251
884	1915	248
885	1918	246
886	1920	244
887	1922	242
888	1924	240
889	1926	238
890	1928	235
891	1930	233
892	1933	231
893	1935	229
894	1937	227
895	1939	225
896	1941	222
897	1943	220
898	1945	218
899	1948	216
900	1950	214
901	1952	212
902	1954	209
903	1957	207
904	1959	205
905	1961	203
906	1963	201
907	1965	199
908	1967	196
909	1969	194
910	1971	192
911	1974	190
912	1976	188
913	1978	186
914	1980	183
915	1982	181
916	1984	179
917	1987	177
918	1989	175
919	1991	173
920	1993	171
921	1995	168
922	1997	166
923	2000	164
924	2002	162
925	2004	160
926	2006	158
927	2008	155
928	2010	153
929	2013	151
930	2015	149
931	2017	147
932	2019	145
933	2021	142
934	2024	140
935	2026	138
936	2028	136
937	2030	134
938	2032	132
939	2035	129
940	2037	127
941	2039	125
942	2041	123
943	2043	121
944	2045	119
945	2048	116
946	2050	114
947	2052	112
948	2054	110
949	2056	108
950	2059	106
951	2061	103
952	2063	101
953	2065	99
954	2067	97
955	2069	95
956	2072	93
957	2074	90
958	2076	88
959	2078	86
960	2080	84
961	2083	82
962	2084	80
963	2087	77
964	2089	75
965	2091	73
966	2093	71
967	2095	69
968	2097	67
969	2100	64
970	2102	62
971	2104	60
972	2106	58
973	2108	56
974	2111	54
975	2113	51
976	2115	49
977	2117	47
978	2119	45
979	2121	43
980	2124	41
981	2126	38
982	2128	36
983	2130	34
984	2132	32
985	2134	30
986	2137	28
987	2139	25
988	2141	23
989	2143	21
990	2146	19
991	2148	17
992	2150	15
993	2152	12
994	2154	10
995	2157	8
996	2159	6
997	2161	4
998	2163	2
999	2165	0
